f022289,unreachable,0,34359738368,34359738368,1402770678611968,CN,Asia,98,1047765861793792,788100,61
f02623,reachable,1000000000000000000,134217728,34359738368,3607772528640,HK,Asia,98,14362370637824,200270532996,62
f097386,unreachable,0,268435456,34359738368,1215578823983104,HK,Asia,98,3600350825152512,0,63
f068528,unreachable,50000000,256,34359738368,347651832807424,CN,Asia,98,397164215795712,406833333,64
f073697,reachable,1,256,34359738368,757254273892352,HK,Asia,98,793847395254272,96943807,65
f089840,reachable,10000000000,7516192768,34359738368,113902532689920,KR,Asia,98,94420561035264,1202145502,66
f0401300,reachable,100000000,256,34359738368,19413252177920,FR,Europe,98,6493990551552,1357083333,67
f020523,reachable,100000000000,256,34359738368,13743895347200,CN,Asia,98,21406117003264,27990235294,68
f023825,unreachable,1000000000000000000,134217728,34359738368,3503112765571072,CN,Asia,98,4098841909395456,26264503631,69
f057466,unreachable,50000000,256,34359738368,11854109736960,CN,Asia,98,13091060318208,709042553,70
f023179,reachable,50000000,256,1048576,45389214384128,CN,Asia,98,97581656965120,30625000,71
f0694881,reachable,50000000,256,34359738368,318446055194624,CN,Asia,98,45354854645760,20000000,72
f0230200,reachable,50000000,256,34359738368,813398086385664,KR,Asia,98,323806174380032,384551282,73
f01117341,reachable,50000000,256,34359738368,34153579937792,KR,Asia,98,25116968747008,2696666666,74
f01090043,unreachable,50000000,256,34359738368,30339648978944,KR,Asia,98,22643067584512,3216000000,75
f062260,reachable,500000000000000000,10737418240,34359738368,257457519591424,CN,Asia,98,204784040673280,49781955,76
f023871,unreachable,0,4294967296,34359738368,30408368455680,CN,Asia,98,208494892417024,751205412,77
f05664,reachable,100000000000000,1073741824,34359738368,149911538499584,HK,Asia,98,111256832835584,805877862,78
f014409,reachable,0,2147483648,34359738368,24842090840064,US,North America,98,29515015258112,46496946902,79
f03274,reachable,1000000000000000000,134217728,34359738368,65936337928192,HK,Asia,98,446504800092160,192307695400,80
f056611,unreachable,1000000000000000000,134217728,34359738368,1008011644502016,CN,Asia,98,1187541277474816,219605263,81
f0100116,reachable,0,1073741824,34359738368,17145509445632,KR,Asia,98,23055384444928,10322960805,82
f0149455,unreachable,50000000,256,34359738368,287350491971584,CN,Asia,98,191624260878336,380000000,83
